mag_id	domain	phylum	class	order	family	genus	species
cmag_634	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS1217	
cmag_635	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	UBA3382	
cmag_636	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	
cmag_637	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp900553715
cmag_638	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella lascolaii
cmag_639	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp900552415
cmag_640	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter sp002160525
cmag_641	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
cmag_642	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	
cmag_643	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_644	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	
cmag_645	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	
cmag_646	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-822	
cmag_647	Bacteria	Firmicutes_A	Clostridia	Monoglobales_A	UBA1381	HGM11525	
cmag_648	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_649	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	
cmag_650	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	
cmag_651	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900290115
cmag_652	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10818	
cmag_653	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS1648	UMGS1648 sp900553765
cmag_654	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS1217	
cmag_655	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-822	
cmag_656	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA7057	
cmag_657	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	
cmag_658	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae		
cmag_659	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242		
cmag_660	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-354	
cmag_661	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776	
cmag_662	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	
cmag_663	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	
cmag_664	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_665	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas sp002159995
cmag_666	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-465	CAG-465	
cmag_667	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_G	
cmag_668	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_I	
cmag_669	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	
cmag_670	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	
cmag_671	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	
cmag_672	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1826	
cmag_673	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	
cmag_674	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp900755895
cmag_675	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	
cmag_676	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae		
cmag_677	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp002160495
cmag_678	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	
cmag_679	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	UMGS1688	
cmag_680	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	QAMI01	QAMI01 sp900551915
cmag_681	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272		
cmag_682	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1409	UBA1409 sp002305045
cmag_683	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_684	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	An23	An23 sp900544635
cmag_685	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	
cmag_686	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	UMGS1688	UMGS1688 sp900554085
cmag_687	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508		
cmag_688	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS1865	
cmag_689	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	
cmag_690	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAG-521	
cmag_691	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	OEMS01	
cmag_692	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	
cmag_693	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-382	UCG-010	UCG-010 sp900754535
cmag_694	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_695	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA1777	
cmag_696	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	
cmag_697	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_698	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	QALS01	
cmag_699	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter sp002161355
cmag_700	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	HGM11808	
cmag_701	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74		
cmag_702	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS599	
cmag_703	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerofilum	Anaerofilum sp002160015
cmag_704	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	UBA1390	UBA1390	UBA1390 sp002305315
cmag_705	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AM51-8	AM51-8 sp900761925
cmag_706	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Catenibacillus	
cmag_707	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B sp900543315
cmag_708	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	
cmag_709	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Catenibacillus	
cmag_710	Bacteria	Firmicutes_A	Clostridia	Monoglobales	Monoglobaceae		
cmag_711	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia sp900546255
cmag_712	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	Fournierella sp002161595
cmag_713	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	CAG-274	UMGS1441	
cmag_714	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium sp900546885
cmag_715	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosacchariphilus	
cmag_716	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776	
cmag_717	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UMGS951	UMGS951 sp900547155
