animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed	enterotype	dmm
CB24.05	CB	CB24	8	7	2019-05-07	247	NA	NA	NA	probiotic	Male	Cobb	standard	1
CC01.01	CC	CC01	6	7	2019-09-16	161.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb	standard	1
CC01.05	CC	CC01	7	7	2019-09-17	221.5	FALSE	FALSE	FALSE	probiotic	Male	Cobb	distinct	2
CC01.06	CC	CC01	7	7	2019-09-17	217.7	FALSE	FALSE	FALSE	probiotic	Male	Cobb	distinct	2
CC02.04	CC	CC02	7	7	2019-09-17	213.8	TRUE	FALSE	FALSE	probiotic	Female	Cobb	distinct	2
CC02.05	CC	CC02	7	7	2019-09-17	134.9	TRUE	FALSE	FALSE	probiotic	Female	Cobb	distinct	2
CC02.06	CC	CC02	7	7	2019-09-17	193.6	FALSE	FALSE	FALSE	probiotic	Female	Cobb	distinct	2
CC03.02	CC	CC03	6	7	2019-09-16	193	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CC03.04	CC	CC03	7	7	2019-09-17	198.6	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CC03.06	CC	CC03	7	7	2019-09-17	159.5	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CC04.03	CC	CC04	6	7	2019-09-16	155.2	FALSE	FALSE	FALSE	probiotic	Female	Ross	distinct	2
CC04.06	CC	CC04	7	7	2019-09-17	202.1	FALSE	FALSE	FALSE	probiotic	Female	Ross	distinct	2
CC05.01	CC	CC05	6	7	2019-09-16	168.4	TRUE	FALSE	FALSE	phytobiotic	Female	Cobb	distinct	2
CC05.02	CC	CC05	6	7	2019-09-16	166.9	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	distinct	2
CC05.03	CC	CC05	6	7	2019-09-16	151.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	distinct	2
CC05.06	CC	CC05	7	7	2019-09-17	214.5	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CC06.02	CC	CC06	6	7	2019-09-16	165.4	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CC06.05	CC	CC06	7	7	2019-09-17	182.4	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CC07.02	CC	CC07	6	7	2019-09-16	156.5	NA	NA	NA	phytobiotic	Male	Ross	distinct	2
CC07.04	CC	CC07	7	7	2019-09-17	202.1	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CC07.05	CC	CC07	7	7	2019-09-17	193.3	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CC07.06	CC	CC07	7	7	2019-09-17	184.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CC08.01	CC	CC08	6	7	2019-09-16	153.3	FALSE	FALSE	FALSE	control	Male	Ross	distinct	2
