animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CA15.11	1121.8	0.34	427.18	15.59	11.13
CA15.12	949.4	0.56	71.09	16.36	12.02
CA15.13	2160.4	0.12	0	9.36	8.67
CA15.14	2352	0.26	0	11.01	9.44
CA15.15	2480.6	0.35	25.46	10.29	13.28
CA15.16	2355.6	0.42	477.86	11.3	11.63
CA15.17	2238.2	0.23	0	12.26	9.68
CA15.18	2267.8	0.11	0	11.15	14.87
CA16.01	192.4	0.33	143.77	13.01	9.72
CA16.02	164.6	0.38	8.17	12.71	9.7
CA16.03	210	0.31	1133.72	12.97	13.3
CA16.04	225.6	0.27	870.2	12.8	16.14
CA16.05	199.2	0.28	1114.24	12.55	14.76
CA16.06	199.2	0.27	33.7	13.78	17.27
CA16.07	789.8	0.63	47.84	16.36	9.46
CA16.08	1115.8	0.62	48.68	16.19	11.35
CA16.09	920.4	0.4	56	18.11	10.92
CA16.10	1123.2	0.63	86.43	15.17	10.74
CA16.11	1141.6	0.69	47.92	20.02	8.28
CA16.12	1196.2	0.61	160.64	16.62	14.38
CA16.13	2191	0.16	0	18.31	18.63
CA16.14	2796.2	0.06	66.42	10.36	15.13
CA16.15	2671	0.32	0.28	9.08	19.59
CA16.16	2525.2	0.16	0	12.48	22.47
CA16.17	2352	0.17	0	10.29	14.6
CA16.18	2977	0.37	10.47	13.38	16.98
CA17.01	202	0.57	9.32	12.97	9.06
CA17.02	192.2	0.34	264.88	12.46	14.24
CA17.03	174.2	0.3	194.08	12.76	13.97
CA17.04	228.6	0.31	21.77	13.83	13.3
CA17.05	187.2	0.53	9.19	13.65	9.53
CA17.06	249.6	0.56	102.91	13.61	27.9
CA17.07	1232	0.39	59.47	18.74	11.21
CA17.08	944.2	0.66	45.63	17.58	9.24
CA17.09	785.6	0.71	47.06	15	10.39
CA17.10	1023.6	0.49	54.74	16.19	8.44
CA17.11	1045.4	0.37	45.64	16.62	8.5
CA17.12	812.8	0.69	45.61	16.02	17.51
CA17.13	1659.2	0.29	28.33	10.36	13.34
CA17.14	2230.8	0.44	0	13.23	13.56
CA17.15	2475	0.5	0	11.74	21.06
CA17.16	2389.8	0.45	0	10.43	16.03
CA17.17	2233.6	0.23	0	9.79	22.47
CA17.18	2335.6	0.41	0	15.14	10.78
