animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA08.07	CA	CA08	21	21	2019-02-25	878.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.08	CA	CA08	21	21	2019-02-25	1182.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.09	CA	CA08	21	21	2019-02-25	801.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.10	CA	CA08	22	21	2019-02-26	988.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.11	CA	CA08	22	21	2019-02-26	998	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.12	CA	CA08	22	21	2019-02-26	1198.8	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.13	CA	CA08	35	35	2019-03-11	2346.4	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.14	CA	CA08	35	35	2019-03-11	2278.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.15	CA	CA08	36	35	2019-03-12	2314.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.16	CA	CA08	36	35	2019-03-12	1725.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.17	CA	CA08	37	35	2019-03-13	2036.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.18	CA	CA08	37	35	2019-03-13	2132.8	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA09.01	CA	CA09	7	7	2019-02-11	156	NA	NA	NA	phytobiotic	Female	Cobb
CA09.02	CA	CA09	7	7	2019-02-11	147.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.03	CA	CA09	7	7	2019-02-11	205.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.04	CA	CA09	8	7	2019-02-12	202	NA	NA	NA	phytobiotic	Female	Cobb
CA09.05	CA	CA09	8	7	2019-02-12	225.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.06	CA	CA09	8	7	2019-02-12	146.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.07	CA	CA09	21	21	2019-02-25	813.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.08	CA	CA09	21	21	2019-02-25	833.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.09	CA	CA09	21	21	2019-02-25	931.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.10	CA	CA09	22	21	2019-02-26	825.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.11	CA	CA09	22	21	2019-02-26	999.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.12	CA	CA09	22	21	2019-02-26	1022.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
